* **输入描述**：
  目标古塔为辽代“白塔峪塔”（悟寂院舍利塔）。根据文献《大安八年掩藏记》及“八角石藏于上”记载，判定为**八角形平面**。结合亲缘原型“永丰塔”（辽代典型八角十三层密檐式砖塔）的时空相似度，判定其结构形制为**密檐式塔**。文献虽侧重地宫文物，但“九圣八明王”等描述暗示塔身装饰丰富。本任务需基于永丰塔的十三层密檐骨架，结合文献语义进行装饰层与基座的逻辑突变复原。

* **推理过程**：
  1.  **【类型与特征辨别】**：
      *   **塔型**：密檐式（Dense Eaves）。依据：辽代辽西地区（永丰、白塔峪）典型制式，且文献年代（大安八年，1092 年）符合辽代密檐塔高峰期的特征。
      *   **层数**：13 层。依据：亲缘原型永丰塔为 13 层，白塔峪塔现存实物亦为 13 层密檐。
      *   **平面**：八角（8 Sides）。依据：文献明确提及“八角石藏于上”。

  2.  **【刚性覆盖与拓扑重组】**：
      *   **塔檐区（最后一个 `e` 左侧）**：
          *   采用 `Global(Sides=8, BaseR=7.5)+a` 起始。
          *   层数守恒：总檐数 13。需 1 个 `a`（顶层特制） + 12 个 `c`（标准密檐）。
          *   序列构建：`a` 后接 12 组 `-b-h-c` 循环。为体现“突变”与结构稳定性，最底层檐（紧邻塔身）增加斗栱支撑，编码为 `-b-h-c-d[type=d1]`。
      *   **塔身区（核心分界点 `e`）**：
          *   定位：序列中唯一的 `e` 即为最后一个 `e`，作为檐区与基区的分界。
          *   装饰映射：文献提及“九圣八明王八塔各名”，映射为塔身墙面装饰。采用 3x3 网格：上层 `e10`（圣像）-`e16`（佛名）-`e10`；中层 `e12`（祥云）-`e16`（佛名）-`e12`；下层 `e10`（明王）-`e8`（假门）-`e10`。转角柱设为 `e1`（普通柱）。

  3.  **【柔性渗透与差异化采样】**：
      *   **塔基区（最后一个 `e` 右侧）**：
          *   依据永丰塔原型，基座较高。设置 `f`（莲花层）作为过渡。
          *   壸门层 `g`：设定每面 2 个壸门 `num=2`，间柱为 `e1`，内雕植物 `g10`（呼应“菩提树”意象）。
          *   收尾：外侧加 `k`（栏板），最终以 `i`（地表）结束。无 `n`（假门）或 `l`（前刹），符合实心密檐塔特征。

  4.  **【刚性拓扑约束验证链校验】**：
      *   **分界点**：最后一个 `e` 位于序列中部，左侧无 `f/g`，右侧无 `a/c`。✅
      *   **层数守恒**：`Count(a)=1` + `Count(c)=12` = 13 层。✅
      *   **壸门格式**：`g[num=2](e1-g10)` 符合 `g[num=X](e[1-5]-g[8-12])` 规范。✅
      *   **首尾边界**：以 `Global...+a` 开头，以 `-i` 结尾。✅

* **标准 LPSL 编码**：

FINAL LPSL: Global(Sides=8,BaseR=7.5)+a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e10-e16-e10/e12-e16-e12/e10-e8-e10)-f-g[num=2](e1-g10)-k-i
