* **输入描述**：
  目标古塔为辽代朝阳南塔（灵感寺塔）。根据文献“凡一十三级”判定为**十三层密檐式砖塔**；“广若山枳”、“募其工”暗示其为八角形制（辽西地区辽塔通例）；“重修以润色”及“百炼镜悬于外”暗示塔身与基座装饰华丽，特别是基座部分 historically 以乐舞砖雕闻名。亲缘原型锁定为同区域同形制的 [广胜寺塔]（结构逻辑参照范例 1 广济寺塔的十三密檐八角骨架），需在此基础上进行装饰与基座细节的突变复原。

* **推理过程**：
  1.  **【类型与特征辨别】**：
      *   文献明确记载“凡一十三级”，在辽代砖塔语境下对应**13 层塔檐**。
      *   形制判定为**密檐式塔**（Dense Eave Pagoda），因楼阁式塔通常称“层”且会有平座层频繁出现，而此处强调“级”且为辽代典型砖塔。
      *   平面形制推断为**八角形**（Sides=8），符合辽西朝阳地区辽塔的地域特征。

  2.  **【刚性覆盖与拓扑重组】**：
      *   **檐数守恒**：总檐数需为 13。根据 LPSL 规则，`Count(a) + Count(c) + Count(r) == 13`。
      *   **骨架突变**：参照亲缘原型 [广胜寺塔]（类广济寺结构），采用 `a`（顶层特制檐）+ 12 层标准檐循环。
      *   **序列构建**：起始为 `Global(Sides=8,BaseR=7.5)+a`。随后连接 12 个檐层单元。为体现“润色”与结构变化，设定前 11 层为 `b-h-c`（叠涩 - 素面 - 标准檐），最底层檐（靠近塔身）增加斗栱支撑，记为 `b-h-c-d[type=d1]`。
      *   **分界点**：序列中最后一个 `e` 为塔身，其左侧为檐区，右侧为基座区。

  3.  **【柔性渗透与差异化采样】**：
      *   **塔身装饰**：文献提及“灵瑞”、“镜”、“灯”，暗示宗教装饰丰富。将塔身转角柱设为龙柱 `[col=e2]` 以体现“敕其寺”的等级。墙面装饰采用 3x3 网格 `(e11-e15-e11/e10-e8-e10/e6-e14-e6)`，包含假窗、佛塔浮雕、人物、假门、飞天、莲台，呼应“灵应必通”。
      *   **基座突变**：朝阳南塔历史上以基座乐舞砖雕著称。将原型中的植物雕刻 `g10` 突变为**人物雕刻 `g8`**（代表乐舞伎），编码为 `g[num=2](e1-g8)`（每面 2 个壸门，普通间柱，内雕人物）。
      *   **润色细节**：增加一层栏板 `k` 以对应“悬于外”的精致感，并以 `i` 收尾。

  4.  **【刚性拓扑约束验证链校验】**：
      *   **分界点判定**：最后一个 `e` 位于序列中段，左侧无 `f,g,n`，右侧无 `a,c,r`。**通过**。
      *   **层数守恒计算**：`a` (1 个) + `c` (12 个) = 13 层。**通过**。
      *   **壸门格式校验**：`g[num=2](e1-g8)` 符合 `g[num=X](e[1-5]-g[8-12])` 规范。**通过**。
      *   **首尾边界校验**：以 `Global...+a` 开头，以 `...-i` 结尾。**通过**。

* **标准 LPSL 编码**：

FINAL LPSL: Global(Sides=8,BaseR=10.5)+a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e2](e11-e15-e11/e10-e8-e10/e6-e14-e6)-f-g[num=2](e1-g8)-k-i
