* **输入描述**：
    目标古塔为辽代大安八年（1092 年）所建的悟寂院舍利塔（即白塔峪塔）。文献虽主要记载地宫舍利安置情况，但明确提及“八角石藏于上”，确立了其**八角形平面**的基本形制。结合亲缘原型【青峰塔】（辽代典型八角十三层密檐式砖塔）的结构遗传特征，判定目标塔为**辽代八角十三层密檐式砖塔**。文献中“九圣八明王”等描述暗示塔身装饰具有浓厚的宗教密教色彩，需在塔身装饰层进行语义映射突变。

* **推理过程**：
    1.  **【第一步：类型与特征辨别】**：
        *   **时代判定**：文献纪年“大安八年”属辽代晚期，建筑风格应遵循辽塔典型的密檐式制式。
        *   **平面形制**：文献“八角石藏于上”明确指示 `Sides=8`。
        *   **塔型判定**：参考亲缘原型青峰塔及辽代大型舍利塔惯例，确定为**密檐式塔**。此类塔特征为高层塔身（通常为一层）上方叠涩密檐。
        *   **层数推断**：辽代大型密檐塔常为 13 层（寓意十三天），结合青峰塔原型，设定总檐数为 13 层。

    2.  **【第二步：刚性覆盖与拓扑重组】**：
        *   **塔檐区构建**：依据层数守恒公式 `Count(a) + Count(c) = 13`。设定顶层为特殊塔檐 `a`，其下为 12 层标准塔檐 `c`。
        *   **循环单元**：密檐塔典型循环为 `b-h-c`（叠涩 - 素面 - 塔檐）。最底层檐下通常增设斗栱层 `d` 以支撑。
        *   **序列排布**：`a` 起始，中间重复 11 次 `b-h-c`，第 12 次为 `b-h-c-d[type=d1]`，随后接塔身 `e`。
        *   **塔基区构建**：塔身 `e` 之后为基座区。依辽塔惯例，设莲花层 `f` 过渡，壸门层 `g` 装饰，栏板 `k` 围护，最后收于地表 `i`。

    3.  **【第三步：柔性渗透与差异化采样】**：
        *   **塔身装饰突变**：文献提及“九圣八明王八塔各名”，虽无法精确还原砖雕，但在 LPSL 装饰网格中，采用 `e10`（人物像/佛像）代表圣王，`e8`（假门/塔门）代表塔名，构建 3x3 墙面网格 `(e10-e8-e10/e8-e10-e8/e10-e8-e10)` 以呼应文献中的宗教叙事。
        *   **基座装饰突变**：为体现舍利塔的庄严，壸门层 `g` 设定为每面 2 门 `num=2`，间柱为普通柱 `e1`，门内雕刻选用 `g8`（人物），对应文献中的“圣”与“明王”形象。
        *   **参数设定**：基座半径参考同类辽塔设为 7.5 米。

    4.  **【第四步：刚性拓扑约束验证链校验】**：
        *   **分界点判定**：序列中最后一个 `e` 位于塔檐循环之后、塔基莲花层之前，符合“左檐右基”规则。
        *   **层数守恒计算**：`a` (1 个) + `c` (12 个) = 13 层。符合物理总檐数。
        *   **壸门格式校验**：`g[num=2](e1-g8)` 符合 `g[num=X](e[1-5]-g[8-12])` 语法。
        *   **首尾边界校验**：以 `Global(...)+a` 开头，以 `...-i` 结尾，符合刚性边界要求。

* **标准 LPSL 编码**：
FINAL LPSL: Global(Sides=8,BaseR=7.5)+a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e10-e8-e10/e8-e10-e8/e10-e8-e10)-f-g[num=2](e1-g8)-k-i
