* **输入描述**：
目标古塔为辽代大安八年（1092 年）所建的白塔峪塔（悟寂院舍利塔）。根据文献《大安八年掩藏记》记载，该塔为安放舍利、经卷、佛像的高等级佛塔，明确提及“八角石藏”，确认为**八角形平面**。结合辽代辽西地区高等级舍利塔的形制惯例（参考亲缘原型永丰塔及广济寺塔），判定其为**八角十三层密檐式砖塔**。文献中强调的“九圣八明王八塔”、“石像数尊”等内部供奉信息，将转化为塔身与塔基的装饰编码突变（如佛像砖、雕像层、壸门人物雕刻）。

* **推理过程**：

    1.  **【第一步：类型与特征辨别】**
        *   **时代与形制**：辽代（大安八年），辽西地区。典型形制为八角密檐式砖塔。
        *   **层数推断**：辽代高等级舍利塔（如永丰塔、广济寺塔）通常为 13 层檐，象征佛教十三天。文献虽未明说层数，但基于“悟寂院创建舍利塔”的规格，采用 13 层作为刚性约束。
        *   **装饰特征**：文献提及“八塔”、“石像”、“明王”，暗示塔身与基座有丰富的浮雕与雕像装饰。

    2.  **【第二步：刚性覆盖与拓扑重组】**
        *   **骨架继承**：以亲缘原型“永丰塔”（标准辽代八角十三层密檐塔）为骨架。
        *   **塔檐区**：顶层为特制檐 `a`，其下 12 层为标准密檐 `c`。为满足 13 层守恒，编码结构为 `a` + 12 个 `c` 单元。最下一层檐下通常设斗栱 `d`。
        *   **塔身区**：核心分界点 `e`。位于塔檐之下，塔基之上。
        *   **塔基区**：密檐塔典型基座为须弥座，包含莲花层 `f` 与壸门层 `g`，终结于地表 `i`。

    3.  **【第三步：柔性渗透与差异化采样】**
        *   **塔身突变**：文献提到“八塔”、“石像”。将塔身转角柱设为 `e4`（佛塔柱）以呼应“八塔”。墙面装饰网格 `(3x3)` 中，植入 `e15`（佛塔浮雕）代表“八塔”，植入 `e10`（人物像）代表“石像/明王”，植入 `e16`（佛名砖）代表“陀罗尼经”。
        *   **塔基突变**：文献提到“八明王”。壸门层 `g` 内部雕刻设为 `g8`（人物），以表现明王像。每面设 2 个壸门 `num=2`。
        *   **斗栱细节**：最底层檐下增加 `d[type=d1]`，体现辽代砖塔仿木构的精细度。

    4.  **【第四步：刚性拓扑约束验证链校验】**
        *   **分界点判定**：序列中最后一个 `e` 位于中部，左侧全为 `a,b,c,d,h`（檐区），右侧全为 `f,g,i`（基区），符合铁律。
        *   **层数守恒**：`Count(a)=1`，`Count(c)=12`。总和 13，等于物理总檐数。
        *   **壸门校验**：`g[num=2](e1-g8)` 格式正确，`e1` 为间柱，`g8` 为人物雕刻。
        *   **首尾校验**：以 `Global(Sides=8...)` 开头，以 `i` 结尾，符合规范。

* **标准 LPSL 编码**：

FINAL LPSL: Global(Sides=8,BaseR=7.5)+a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e4](e16-e15-e16/e10-e8-e10/e15-e16-e15)-f-g[num=2](e1-g8)-i
