* **输入描述**：
    目标古塔为辽代白塔峪塔（悟寂院舍利塔）。根据《大安八年掩藏记》文献，判定其为**辽代八角密檐式砖塔**。文献虽主要记载地宫舍利与经咒，但“八角石藏”、“九圣八明王”、“陀罗尼”等关键词揭示了塔身装饰母题（佛像、经砖）与塔基纹样（文字/万字）。基于亲缘原型【青峰塔】（辽代典型十三层密檐八角砖塔）进行结构遗传，执行装饰母题的逻辑突变。

* **推理过程**：
    1.  **类型与特征辨别**：
        *   **形制**：辽代密檐式塔（Liao Dense-Eave Pagoda）。
        *   **平面**：八角形（`Sides=8`），文献“八角石藏”佐证。
        *   **层数**：参照青峰塔原型及辽代舍利塔规制，设定为 13 层密檐（`TotalLayers=13`）。
        *   **装饰**：文献提及“九圣八明王”（人物像 `e10`）、“陀罗尼经”（佛名砖/经砖 `e16`）、“万字文”（`g11`）。

    2.  **刚性覆盖与拓扑重组**：
        *   **塔檐区**：采用 `a`（顶层特制）+ 12 层 `c`（标准塔檐）满足 13 层守恒。最下层檐（紧邻塔身）增加 `d[type=d1]`（斗栱）以符合辽塔特征。
        *   **连接层**：檐间使用 `b-h`（叠涩 - 素面）过渡。
        *   **塔身区**：定位最后一个 `e` 为分界点。转角柱设为 `e1`（普通柱）。
        *   **塔基区**：`e` 右侧依次为 `f`（莲花）、`g`（壸门）、`k`（栏板）、`i`（底层）。

    3.  **柔性渗透与差异化采样**：
        *   **塔身突变**：将文献中的“明王”与“经咒”映射为墙面装饰。构建 3 排网格 `(e16-e10-e16/e16-e10-e16/e16-e10-e16)`，表现经砖与明王像交替的庄严感。
        *   **塔基突变**：壸门内部样式设为 `g11`（万字文/经文），呼应“陀罗尼”记载；数量设为 `num=2`（每面两门）。
        *   **外围突变**：增加 `k`（栏板）层，象征文献中“石匣...诸杂供具遍盈”的围护空间感。

    4.  **刚性拓扑约束验证链校验**：
        *   **分界点**：序列中仅有一个 `e`，其左侧为 `a, b, c, d, h`（檐区），右侧为 `f, g, k, i`（基区），合规。
        *   **层数守恒**：`Count(a)=1` + `Count(c)=12` = 13 层。符合 13 层密檐设定。
        *   **壸门格式**：`g[num=2](e1-g11)` 符合 `g[num=X](e[1-5]-g[8-12])` 语法。
        *   **首尾边界**：以 `Global(...)+a` 开头，以 `...-i` 结尾，合规。

* **标准 LPSL 编码**：
FINAL LPSL: Global(Sides=8,BaseR=7.5)+a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e16-e10-e16/e16-e10-e16/e16-e10-e16)-f-g[num=2](e1-g11)-k-i
