* **输入描述**：
  目标古塔为辽代朝阳南塔（灵感寺塔）。根据文献“凡一十三级”、“火其砖”、“汲泥于檐”判定为**辽代八角十三层密檐式砖塔**。文献中提到的“千岁灯”、“百炼镜”及“灵应必通”暗示了塔身装饰具有强烈的佛教灵验与光影隐喻特征。亲缘原型选定为同为辽代十三层密檐砖塔结构的【广胜寺塔】（参考范例 1 结构逻辑），需在此基础上进行装饰语义的突变与复原。

* **推理过程**：
  1.  **【类型与特征辨别】**：
      *   **塔型**：文献明确记载“一十三级”，且为“砖塔”、“檐者”，符合辽代密檐式砖塔特征。
      *   **层数**：物理总檐数为 13 层。
      *   **平面**：辽代大型砖塔多为八角形，设定 `Sides=8`。
      *   **材质**：砖构（`火其砖`）。

  2.  **【刚性覆盖与拓扑重组】**：
      *   **遗传骨架**：沿用亲缘原型（广胜寺塔/范例 1）的密檐拓扑结构。即：顶层特制檐 `a` + 12 层标准檐 `c`（含过渡层 `b-h`）构成塔檐区。
      *   **守恒校验**：根据 LPSL v3.0 层数守恒公式，`Count(a) + Count(c) = 1 + 12 = 13`，严格匹配文献“一十三级”。
      *   **分界点**：序列中最后一个 `e` 为塔身，其左侧为 13 层塔檐，右侧为塔基。
      *   **基座结构**：采用辽塔标准须弥座制式，包含莲花层 `f`、壸门层 `g`、栏板 `k` 及地表 `i`。

  3.  **【柔性渗透与差异化采样】**：
      *   **塔身装饰突变**：文献提及“百炼镜悬于外”，将塔身墙面装饰网格中的部分构件突变为 `e11`（假窗/镜面隐喻）与 `e12`（祥云/光影）；“灵应必通”映射为 `e10`（佛像）与 `e15`（佛塔浮雕）。
      *   **壸门层突变**：原型为植物雕刻 `g10`，此处根据“灵感寺”宗教属性，突变为 `g8`（人物/神将），以体现“灵应”。
      *   **栏板简化**：相较于原型的双层栏板 `k-k`，此处简化为单层 `k`，以区分不同塔例的细微形制差异。
      *   **斗栱配置**：保留密檐塔特征，在最底层塔檐（序列中最后一个 `c` 附近）设置铺作层 `d[type=d1]`。

  4.  **【刚性拓扑约束验证链校验】**：
      *   **分界点判定**：最后一个 `e` 位于序列中部，左侧全为 `a/b/c/h/d`（檐区），右侧全为 `f/g/k/i`（基区），合规。
      *   **层数守恒**：`a`(1) + `c`(12) = 13 层，合规。
      *   **壸门语法**：`g[num=2](e1-g8)` 符合 `g[num=X](e[1-5]-g[8-12])` 规范。
      *   **首尾边界**：以 `Global(...)+a` 起始，以 `-i` 终结，合规。

* **标准 LPSL 编码**：

FINAL LPSL: Global(Sides=8,BaseR=7.5)+a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e12-e6/e10-e15-e10/e11-e8-e11)-f-g[num=2](e1-g8)-k-i
