* **输入描述**：
  目标古塔为辽代大安八年（1092 年）所建的白塔峪塔（悟寂院舍利塔）。文献主要记载地宫内部舍利函藏及供奉物（水晶塔、银菩提树、石像、陀罗尼经等），未直接描述塔身外部形制。基于时空亲缘性，选取同属辽西地区、形制高度相似的**黄花滩塔**作为结构原型（Oracle Anchor）。判定该塔为**八角十三层密檐式砖塔**。推理重点在于利用文献中的“八明王”、“八塔”、“石像”等关键词，对原型塔身及塔基的装饰语义进行逻辑突变，使其在结构守恒的前提下体现舍利塔的特征。

* **推理过程**：
  1.  **【类型与特征辨别】**：
      *   **塔型判定**：依据辽代辽西地区佛塔惯例及亲缘原型黄花滩塔，确认为**密檐式塔**。
      *   **刚性参数**：平面为**八角**（`Sides=8`），檐层数为**十三层**（`TotalLayers=13`）。文献中多次出现“八”（八明王、八塔），佐证八角形制。
      *   **年代特征**：辽大安八年，属辽代晚期，风格成熟，基座较高，装饰繁复。

  2.  **【刚性覆盖与拓扑重组】**：
      *   **原型锚定**：黄花滩塔为典型的 `a` + 12 层 `c` 结构。本塔继承此骨架。
      *   **塔檐序列**：顶层特殊檐 `a`，其下 12 层密檐。前 11 层为标准密檐循环 `b-h-c`，第 13 层（最下层檐）檐下加设斗栱以承托重量，编码为 `b-h-c-d[type=d1]`。
      *   **层数守恒校验**：`Count(a)=1` + `Count(c)=12` = 13 层。符合物理总檐数。
      *   **分界点定位**：序列中最后一个 `e` 为塔身，其左侧全为檐区，右侧全为基座区。

  3.  **【柔性渗透与差异化采样】**：
      *   **塔身装饰突变**：文献提及“八塔”、“石像”。在塔身 `e` 的墙面装饰网格中，引入 `e15`（佛塔浮雕）呼应“八塔”，引入 `e10`（人物像）呼应“石像/明王”。
      *   **网格设计**：采用 3x3 布局。上层 `e6-e15-e6`（飞天与塔浮雕），中层 `e10-e15-e10`（佛像与塔浮雕），下层 `e10-e8-e10`（佛像与假门）。转角柱设为普通柱 `e1`。
      *   **塔基装饰突变**：文献提及“八明王”。在塔基壸门层 `g` 中，将内部雕刻设为 `g8`（人物），以隐喻明王像。每面设 2 个壸门 `num=2`，间柱为普通柱 `e1`。
      *   **基座序列**：塔身下接莲花层 `f`，再接壸门层 `g`，外侧设栏板 `k`，最后落地 `i`。

  4.  **【刚性拓扑约束验证链校验】**：
      *   **分界点**：最后一个 `e` 位于序列中部，左侧无 `f/g`，右侧无 `a/c`。✅
      *   **层数守恒**：1 个 `a` + 12 个 `c` = 13 层。✅
      *   **壸门格式**：`g[num=2](e1-g8)` 符合 `g[num=X](e[1-5]-g[8-12])` 规范。✅
      *   **首尾边界**：以 `Global(...)+a` 开头，以 `...-i` 结尾。✅

* **标准 LPSL 编码**：

FINAL LPSL: Global(Sides=8,BaseR=7.8)+a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e15-e6/e10-e15-e10/e10-e8-e10)-f-g[num=2](e1-g8)-k-i
