* **输入描述**：
  目标古塔为辽金时期燕京地区大型砖塔“昊天塔”（大昊天寺塔）。文献明确记载为“六檐八角”，高二百余尺，且有“栏槛缥缈”之描述，暗示其为可登临或具楼阁式特征的砖塔（区别于典型密檐式）。亲缘原型选定为辽代典型的“伍侯塔”（八角楼阁式砖塔骨架）。需基于伍侯塔的结构逻辑，将层数突变为六层，并融入文献中提到的“金铜标刹”、“石础”、“佛像”等特征。

* **推理过程**：
  1.  **类型与特征辨别**：
      *   **塔型判定**：文献称“六檐八角”，若为密檐式通常檐数较多（如 13 檐），且“栏槛缥缈”暗示各层有平座勾栏，符合**楼阁式塔**特征。故定为六角楼阁式（实际为八角，文献“六檐”指六层塔身与塔檐）。
      *   **刚性特征**：八角（Sides=8），六层（TotalLayers=6），高层（BaseR 设为 9.0 米以匹配 200 尺高度）。
      *   **装饰特征**：“栏槛”对应 `o`（勾栏）；“熔铸丈六银佛/金铜易像”对应塔身装饰 `e10`（人物像/佛像）；“柱础范阳山石”对应塔基 `g` 层石作；“标刹对立...当塔之阳”对应尾部 `l`（前刹）。

  2.  **刚性覆盖与拓扑重组**：
      *   **骨架突变**：以伍侯塔（通常为 7 层）为原型，执行层数剪枝突变，调整为 6 层。
      *   **序列构建**：采用楼阁式标准平铺逻辑 `a-e` (顶层) + 5 组 `c-e` (标准层)。
      *   **檐数守恒**：`a`(1) + `c`(5) = 6，严格匹配“六檐”文献。
      *   **分界点**：序列中第 6 个 `e` 为最后一个 `e`，其左侧为塔檐与上层塔身区，右侧为塔基区。

  3.  **柔性渗透与差异化采样**：
      *   **勾栏挂载**：为体现“栏槛缥缈”，在中间层（第 2、3 层）的塔身与塔檐间插入 `o`（勾栏）与 `d`（斗栱），增强楼阁感。
      *   **塔身装饰**：所有 `e` 层统一挂载 `[col=e1]`（普通柱）及内部 `(e10)`（佛像），呼应文献中“造像”之愿。
      *   **塔基变异**：基座采用 `f`（莲花）+ `g`（壸门）+ `k`（栏板）组合。`g` 层设为 `[num=4]`（每面 4 壸门），间柱 `e1`，内雕 `g10`（植物/石作纹样），体现“范阳山石”质感。
      *   **尾部特殊结构**：文献提及“当塔之阳”有独立金铜像/刹，故在 `i`（地表）后追加 `l`（前刹），形成 `i-l` 收尾。

  4.  **刚性拓扑约束验证链校验**：
      *   **分界点**：最后一个 `e` 位于序列后段，其右侧无 `a/c/r`，左侧无 `f/g/n`。通过。
      *   **层数守恒**：`Count(a)=1`, `Count(c)=5`，总和 6，等于物理总檐数。通过。
      *   **壸门格式**：`g[num=4](e1-g10)` 符合 `g[num=X](e[1-5]-g[8-12])` 规范。通过。
      *   **首尾边界**：以 `Global(...)+a` 开头，以 `i-l` 结尾。通过。

* **标准 LPSL 编码**：

FINAL LPSL: Global(Sides=8,BaseR=9.0)+a-m-d[type=d1]-e[col=e1](e10)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e10)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e10)-d[type=d1]-c-m-d[type=d1]-e[col=e1](e10)-d[type=d1]-c-m-d[type=d1]-e[col=e1](e10)-d[type=d1]-c-m-d[type=d1]-e[col=e1](e10)-f-g[num=4](e1-g10)-k-i-l
