* **输入描述**：
    目标古塔为辽代朝阳南塔（灵感寺塔）。根据文献“凡一十三级”判定为**13 层密檐式砖塔**；“柳城人梁氏之所建”、“辽代石刻”确认为辽代典型风格；“八角”为辽塔常见平面形制（结合朝阳三塔共性推断）。结构上需体现“密檐”特征（多层塔檐堆叠），装饰上需呼应文献中“异光”、“舍利”、“经律论”（僧人背景）等宗教意象。基于亲缘原型 [永丰塔] 的辽代密檐基因，执行 13 层檐数守恒与装饰语义突变。

* **推理过程**：
    1.  **类型与特征辨别**：
        *   文献明确记载“凡一十三级”，在辽代砖塔语境下，此指**13 层塔檐**。
        *   形制判定为**密檐式塔**（Dense Eaves Pagoda），而非楼阁式。这意味着 LPSL 编码中塔檐区（`e` 左侧）应包含大量重复的檐层单元，而塔身 `e` 仅作为核心分界点出现一次（位于檐区之下）。
        *   平面形制推断为**八角形**（Sides=8），符合辽代朝阳地区佛塔的典型规制。

    2.  **刚性覆盖与拓扑重组**：
        *   **檐数守恒**：目标总檐数 13。根据 LPSL 规则 `Count(a) + Count(c) + Count(r) == 13`。
        *   采用顶层特制檐 `a` (1 个) + 标准密檐 `c` (12 个) 的组合。
        *   拓扑序列构建：`a` 起始，随后连接 12 组密檐单元。为体现结构变化，前 11 层采用标准叠涩 `b-h-c`，最底层檐（紧邻塔身）增加斗栱支撑 `b-h-c-d[type=d1]`，以增强稳定性并符合辽塔特征。
        *   序列片段：`a` - (11 × `b-h-c`) - `b-h-c-d[type=d1]`。

    3.  **柔性渗透与差异化采样**：
        *   **塔身 (`e`) 突变**：文献提及“讲经律论沙门”，故转角柱选用 `e3` (经幢柱) 以彰显佛教义理。墙面装饰呼应“异光”、“舍利”、“镜”。
            *   设计 3x3 网格：上层 `e12` (祥云/异光) - `e14` (莲台) - `e12`；中层 `e10` (人物/高僧) - `e15` (佛塔浮雕/舍利函) - `e10`；下层 `e11` (假窗/百炼镜) - `e8` (假门) - `e11`。
        *   **塔基 (`f, g, i`) 突变**：基座采用标准辽式须弥座简化编码。莲花层 `f` 过渡。壸门层 `g` 设为每面 2 门 `num=2`，间柱 `e1`，内雕 `g11` (万字文，呼应佛教吉祥)。外侧加栏板 `k` 增加层次。
        *   **亲缘变异**：相较于永丰塔可能的素面，此处在 `e` 内部增加了具体的宗教符号映射。

    4.  **刚性拓扑约束验证链校验**：
        *   **分界点**：序列中最后一个 `e` 位于檐区之后、基座之前。左侧无 `f, g`，右侧无 `a, c`。符合。
        *   **层数守恒**：`a` (1) + `c` (11+1=12) = 13 层。符合文献“一十三级”。
        *   **首尾边界**：以 `Global(...)+a` 开头，以 `...-i` 结尾。符合。
        *   **壸门格式**：`g[num=2](e1-g11)` 符合 `g[num=X](e[1-5]-g[8-12])` 规范。

* **标准 LPSL 编码**：

FINAL LPSL: Global(Sides=8,BaseR=7.5)+a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e3](e12-e14-e12/e10-e15-e10/e11-e8-e11)-f-g[num=2](e1-g11)-k-i
